Plugin id,Path,Community,Needs to be split?,Third Party Repo URL,Custom URL,Version in third party repo,Version in our repo,Third Party Commit Hash,Last commit hash on monorepo,In sync,,URL
mod_attendance,/mod/attendance,Yes,,https://github.com/danmarsden/moodle-mod_attendance,,2026012700,2024082400,3e91a5471ae6c4f4cad96119c61b33fed304b952,,No,,https://github.com/danmarsden/moodle-mod_attendance
mod_board,/mod/board,Yes,,https://github.com/brickfield/moodle-mod_board,,2025070714,2025070714,d61481e34a5eb0ec5064843854d82df694e0b5cd,,Yes,,https://github.com/brickfield/moodle-mod_board
mod_choicegroup,/mod/choicegroup,Yes,,https://github.com/ndunand/moodle-mod_choicegroup,,2026013100,2025100902,4c05206ce8bf6d299a9fc128196d8bd26c037c96,,No,,https://github.com/ndunand/moodle-mod_choicegroup
mod_customcert,/mod/customcert,Yes,,https://github.com/mdjnelson/moodle-mod_customcert,,2025122800,2024042216,304e4d01e2a0281ffced7b82cf0ee36791e9e1df,,No,,https://github.com/mdjnelson/moodle-mod_customcert
mod_flashcard,/mod/flashcard,Yes,,https://github.com/vfremaux/moodle-mod_flashcard,,2025090200,2019121103,b9b7c1c36f66d6926ef0e0d98c4aa899b027dc5d,,No,,https://github.com/vfremaux/moodle-mod_flashcard
mod_hvp,/mod/hvp,Yes,,https://github.com/h5p/moodle-mod_hvp,,2026012200,2026012200,1f5e612a590768dd8d91a164d245a5cd29e5e44f,1f5e612a590768dd8d91a164d245a5cd29e5e44f,Yes,,https://github.com/h5p/moodle-mod_hvp
mod_journal,/mod/journal,Yes,,https://github.com/elearningsoftware/moodle-mod_journal,,2026012100,2026012100,3841a388effc53b1fa7fff9a2634111ea5bf0841,7b6df46d3c6ade5b0271a8ca9e32aa0c42b414fe,Yes,,https://github.com/elearningsoftware/moodle-mod_journal
mod_kalvidassign,/mod/kalvidassign,No,,https://github.com/kaltura/moodle_plugin,,2021051704,2024100700,cafcfb7f8d602f523043c5201ab5b409f9608fec,,No,,https://github.com/kaltura/moodle_plugin
mod_kalvidres,/mod/kalvidres,No,,https://github.com/kaltura/moodle_plugin,,2021051704,2024100700,cafcfb7f8d602f523043c5201ab5b409f9608fec,,No,,https://github.com/kaltura/moodle_plugin
mod_library,/mod/library,No,Yes,,,,2015051102,,,No,,
mod_lightboxgallery,/mod/lightboxgallery,Yes,,https://github.com/open-lms-open-source/moodle-mod_lightboxgallery,,2025052600,2025052600,a9217c316f05a8891dd6ed9eed83253303774565,6afc5c7be6be142eb9d744a82a1b9c92c9223d2a,Yes,,https://github.com/open-lms-open-source/moodle-mod_lightboxgallery
mod_mylabmastering,/mod/mylabmastering,No,Yes,,,,2019012000,,,No,,
mod_panoptosubmission,/mod/panoptosubmission,Yes,,https://github.com/Panopto/moodle-mod_panoptosubmission,,2025112600,2025112600,524e6269beed42e0676df075927f33fce99bf6c7,524e6269beed42e0676df075927f33fce99bf6c7,Yes,,https://github.com/Panopto/moodle-mod_panoptosubmission
mod_questionnaire,/mod/questionnaire,Yes,,https://github.com/PoetOS/moodle-mod_questionnaire,,2022120000,2024080100,c2a4c6e7468ed55ff1dcbcff53529de7aacb99d8,,No,,https://github.com/PoetOS/moodle-mod_questionnaire
mod_respondusws,/mod/respondusws,No,Yes,,,,2023121500,,,No,,
mod_turningptintegration,/mod/turningptintegration,No,,Private?,,,2020020408,,,No,,Private?
mod_turnitintooltwo,/mod/turnitintooltwo,Yes,,https://github.com/turnitin/moodle-mod_turnitintooltwo,,2025121101,2025121101,8310e46132df45ec7d023318890689de35461fe7,8310e46132df45ec7d023318890689de35461fe7,Yes,,https://github.com/turnitin/moodle-mod_turnitintooltwo
assignsubmission_onenote,/mod/assign/submission/onenote,Yes,,https://github.com/Microsoft/o365-moodle,,2025100600,2024100705,da127bc48f31dfdb659d5fe0e670e51f386ae3f6,,No,,https://github.com/Microsoft/o365-moodle
assignfeedback_onenote,/mod/assign/feedback/onenote,Yes,,https://github.com/Microsoft/o365-moodle,,2025100600,2024100705,da127bc48f31dfdb659d5fe0e670e51f386ae3f6,,No,,https://github.com/Microsoft/o365-moodle
booktool_wordimport,/mod/book/tool/wordimport,Yes,,https://github.com/ecampbell/moodle-booktool_wordimport,,2025042300,2025042300,d1805ab339440a3af34f38cab50e429d53216956,d1805ab339440a3af34f38cab50e429d53216956,Yes,,https://github.com/ecampbell/moodle-booktool_wordimport
customcertelement_bgimage,/mod/customcert/element/bgimage,Yes,,https://github.com/mdjnelson/moodle-mod_customcert,,2025122800,2023042400,304e4d01e2a0281ffced7b82cf0ee36791e9e1df,,No,,https://github.com/mdjnelson/moodle-mod_customcert
customcertelement_border,/mod/customcert/element/border,Yes,,https://github.com/mdjnelson/moodle-mod_customcert,,2025122800,2023042400,304e4d01e2a0281ffced7b82cf0ee36791e9e1df,,No,,https://github.com/mdjnelson/moodle-mod_customcert
customcertelement_categoryname,/mod/customcert/element/categoryname,Yes,,https://github.com/mdjnelson/moodle-mod_customcert,,2025122800,2023042400,304e4d01e2a0281ffced7b82cf0ee36791e9e1df,,No,,https://github.com/mdjnelson/moodle-mod_customcert
customcertelement_code,/mod/customcert/element/code,Yes,,https://github.com/mdjnelson/moodle-mod_customcert,,2025122800,2023042400,304e4d01e2a0281ffced7b82cf0ee36791e9e1df,,No,,https://github.com/mdjnelson/moodle-mod_customcert
customcertelement_coursefield,/mod/customcert/element/coursefield,Yes,,https://github.com/mdjnelson/moodle-mod_customcert,,2025122800,2023042400,304e4d01e2a0281ffced7b82cf0ee36791e9e1df,,No,,https://github.com/mdjnelson/moodle-mod_customcert
customcertelement_coursename,/mod/customcert/element/coursename,Yes,,https://github.com/mdjnelson/moodle-mod_customcert,,2025122800,2023042400,304e4d01e2a0281ffced7b82cf0ee36791e9e1df,,No,,https://github.com/mdjnelson/moodle-mod_customcert
customcertelement_date,/mod/customcert/element/date,Yes,,https://github.com/mdjnelson/moodle-mod_customcert,,2025122800,2023042400,304e4d01e2a0281ffced7b82cf0ee36791e9e1df,,No,,https://github.com/mdjnelson/moodle-mod_customcert
customcertelement_daterange,/mod/customcert/element/daterange,Yes,,https://github.com/mdjnelson/moodle-mod_customcert,,2025122800,2023042400,304e4d01e2a0281ffced7b82cf0ee36791e9e1df,,No,,https://github.com/mdjnelson/moodle-mod_customcert
customcertelement_digitalsignature,/mod/customcert/element/digitalsignature,Yes,,https://github.com/mdjnelson/moodle-mod_customcert,,2025122800,2023042400,304e4d01e2a0281ffced7b82cf0ee36791e9e1df,,No,,https://github.com/mdjnelson/moodle-mod_customcert
customcertelement_expiry,/mod/customcert/element/expiry,Yes,,https://github.com/mdjnelson/moodle-mod_customcert,,2025122800,2024072200,304e4d01e2a0281ffced7b82cf0ee36791e9e1df,,No,,https://github.com/mdjnelson/moodle-mod_customcert
customcertelement_grade,/mod/customcert/element/grade,Yes,,https://github.com/mdjnelson/moodle-mod_customcert,,2025122800,2023042400,304e4d01e2a0281ffced7b82cf0ee36791e9e1df,,No,,https://github.com/mdjnelson/moodle-mod_customcert
